;----------------------------------------------------------------
; 额外变更数组Size - VariableSize.csv
;----------------------------------------------------------------

;-------------------------------------------------
; 系统内部全局变量(跨存档)
;-------------------------------------------------
GLOBAL,5000
;GLOBALS,

;-------------------------------------------------
; 默认csv键值范围
;-------------------------------------------------
BASE,2000
MAXBASE,2000
ABL,100
TALENT,300
EXP,1000
MARK,100
PALAM,100
SOURCE,100
EX,100
CFLAG,2000
CDFLAG, 100, 100
JUEL,100
RELATION,200
EQUIP,100
TEQUIP,100
STAIN,100
GOTJUEL,100
NOWEX,100
CSTR,120
CUP,100
CDOWN,100
DOWNBASE,100
TCVAR,1000

TSTR,100
