;----------------------------------------------------------------
; ！！角色文件必须以 UTF-8 with ROM 格式存储！！
;----------------------------------------------------------------

;----------------------------------------------------------------
; Chara1001 - 特别周.csv 
;----------------------------------------------------------------

番号,1
名前,特别周
呼び名,特别周

;----------------------------------------------------------------
; 数值类属性 初始上限 - Base.csv
;----------------------------------------------------------------

基礎,体力,1000
基礎,精力,1000

基礎,速度,1200
基礎,耐力,1200
基礎,力量,1200
基礎,根性,1200
基礎,智力,1200

;----------------------------------------------------------------
; 定义类属性初始值 - CFlag.csv
;----------------------------------------------------------------

フラグ,性别,0       ; 0=女性 1=男性 10=扶她
フラグ,罩杯尺寸,3   ; -1=无 0=AA 1=A 2=B 3=C 4=D 5=E 6=F 7=G
フラグ,阴茎尺寸,0   ; 0=无 1=极短 2=短小 3=标准 4=傲人 5=马

フラグ,身高,158
フラグ,胸围,81
フラグ,腰围,56
フラグ,臀围,81

フラグ,肤色深度,0   ; -1=偏浅 0=正常 1=偏深 2=小麦色

;----------------------------------------------------------------
; 马娘属性（用五星的） 适性备注：0=G 1=F 2=E 3=D 4=C 5=B 6=A 7=S
;----------------------------------------------------------------

フラグ,初始速度,102
フラグ,初始耐力,108
フラグ,初始力量,120
フラグ,初始根性,110
フラグ,初始智力,110

フラグ,速度加成,0
フラグ,耐力加成,20
フラグ,力量加成,0
フラグ,根性加成,0
フラグ,智力加成,10

フラグ,草地适性,6       ;A
フラグ,泥地适性,0       ;G

フラグ,短距离适性,1     ;F
フラグ,英里赛适性,4     ;C
フラグ,中距离适性,6     ;A
フラグ,长距离适性,6     ;A

フラグ,逃马适性,0       ;G
フラグ,先马适性,6       ;A
フラグ,差马适性,6       ;A
フラグ,追马适性,4       ;C

フラグ,气性,0       ; -3=顺从 -2=胆小 -1=认真 0=普通 1=要强 2=顽固 3=热血
フラグ,成长阶段,2   ; 0=幼年期 1=成长期 2=本格化 3=繁殖期

フラグ,父方角色,-1  ;无
フラグ,母方角色,-1  ;无

フラグ,出生月份,5
フラグ,出生日期,2

フラグ,流星大小,1   ; -2=无 -1=偏小 0=普通 1=偏大 2=全长

;----------------------------------------------------------------
; 角色Flag（STR） - CStr.csv
;----------------------------------------------------------------

CSTR,毛色,黑鹿

CSTR,流星形状,条形
